,gender,age,household_income,degree,school_degree,parking_strategy,survey_income_interval,income_group
0,2.0,27,3379,3.0,5.0,7.0,6.0,1
1,1.0,48,15491,5.0,2.0,7.0,7.0,2
2,1.0,10,21465,11.0,4.0,7.0,3.0,2
3,2.0,68,8143,5.0,0.0,3.0,4.0,2
4,1.0,17,16846,4.0,1.0,5.0,6.0,2
5,1.0,3,3697,8.0,2.0,3.0,4.0,1
6,1.0,94,26595,7.0,4.0,7.0,6.0,2
7,1.0,87,15746,3.0,5.0,4.0,4.0,2
8,1.0,29,4267,6.0,6.0,7.0,1.0,1
9,1.0,30,12553,5.0,2.0,4.0,2.0,2
10,1.0,75,23587,10.0,1.0,5.0,6.0,2
11,2.0,66,9188,9.0,3.0,7.0,4.0,2
12,2.0,93,1168,12.0,0.0,7.0,1.0,0
13,1.0,60,788,12.0,2.0,4.0,3.0,0
14,2.0,7,15471,2.0,2.0,5.0,4.0,2
15,2.0,51,7219,1.0,3.0,4.0,1.0,2
16,2.0,73,13328,0.0,6.0,5.0,2.0,2
17,2.0,87,26295,11.0,0.0,4.0,6.0,2
18,2.0,64,19442,4.0,5.0,4.0,1.0,2
19,1.0,17,7815,12.0,2.0,3.0,1.0,2
20,2.0,40,5607,8.0,2.0,7.0,2.0,1
21,1.0,21,17497,7.0,4.0,4.0,4.0,2
22,1.0,94,24097,4.0,5.0,5.0,4.0,2
23,2.0,26,6338,12.0,6.0,4.0,5.0,2
24,2.0,15,3865,0.0,5.0,5.0,2.0,1
25,1.0,17,17487,12.0,0.0,4.0,6.0,2
26,1.0,10,19824,11.0,4.0,3.0,1.0,2
27,1.0,17,1693,1.0,4.0,3.0,4.0,0
28,1.0,3,21286,3.0,1.0,3.0,2.0,2
29,2.0,73,1966,10.0,2.0,7.0,6.0,0
30,1.0,29,13399,6.0,1.0,4.0,5.0,2
31,2.0,67,26422,6.0,1.0,5.0,6.0,2
32,1.0,71,10561,1.0,0.0,3.0,6.0,2
33,2.0,80,6938,7.0,2.0,5.0,2.0,2
34,1.0,98,8103,1.0,5.0,7.0,6.0,2
35,1.0,4,13637,1.0,2.0,5.0,7.0,2
36,2.0,61,8218,9.0,3.0,3.0,4.0,2
37,1.0,90,18961,11.0,5.0,3.0,2.0,2
38,1.0,100,18401,0.0,2.0,7.0,7.0,2
39,2.0,6,4445,5.0,4.0,4.0,4.0,1
40,2.0,32,8616,7.0,1.0,5.0,4.0,2
41,1.0,81,24296,4.0,6.0,7.0,5.0,2
42,2.0,37,16107,4.0,3.0,4.0,7.0,2
43,1.0,27,23102,4.0,0.0,4.0,2.0,2
44,1.0,51,15840,8.0,5.0,7.0,7.0,2
45,1.0,78,21218,10.0,0.0,7.0,3.0,2
